17:27:04 DEBUG   Count: 51 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:04 DEBUG   Count: 52 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:04 DEBUG   Count: 53 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:04 DEBUG   Count: 54 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:04 DEBUG   Count: 55 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:04 DEBUG   Count: 56 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:04 DEBUG   Count: 57 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:04 DEBUG   Count: 58 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:05 DEBUG   Count: 59 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:05 DEBUG   Count: 60 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:05 DEBUG   Count: 61 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:05 DEBUG   Count: 62 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:05 DEBUG   Count: 63 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:05 DEBUG   Count: 64 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:05 DEBUG   Count: 65 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:05 DEBUG   Count: 66 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:05 DEBUG   Count: 67 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:06 DEBUG   Count: 68 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:06 DEBUG   Count: 69 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:06 DEBUG   Count: 70 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:06 DEBUG   Count: 71 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
